session_id,timestamp,period,system_type,channel,intent,confidence_score,intent_attempts,turns,raw_input_length,response_latency_ms,is_fallback,transferred_to_human,transfer_reason,call_duration_sec,resolved
A-00000,2023-01-10 08:14:20.588950,A,rule_based,voice,freeze_card,0.904,2,2,32,570,0,0,none,438,1
A-00001,2023-04-06 15:33:28.114541,A,rule_based,voice,dispute_charge,0.864,1,3,50,693,0,0,none,38,1
A-00002,2023-01-31 22:15:33.748836,A,rule_based,mobile_app,loan_inquiry,0.748,2,1,36,612,0,0,none,379,1
A-00003,2023-04-22 21:48:20.108638,A,rule_based,chat,request_statement,0.718,1,1,50,773,0,0,none,174,1
A-00004,2023-06-28 02:49:27.187278,A,rule_based,voice,check_balance,0.58,1,2,65,181,0,0,none,280,1
A-00005,2023-06-11 10:31:31.685544,A,rule_based,chat,transfer_funds,0.836,2,1,8,527,0,0,none,437,1
A-00006,2023-06-16 11:20:43.274902,A,rule_based,mobile_app,freeze_card,0.897,1,3,36,640,0,0,none,436,1
A-00007,2023-02-08 09:40:16.296630,A,rule_based,mobile_app,freeze_card,0.841,1,1,49,262,0,0,none,113,1
A-00008,2023-04-08 14:49:14.401926,A,rule_based,mobile_app,check_balance,0.926,2,2,44,252,0,1,customer_request,241,1
A-00009,2023-02-12 06:28:11.966974,A,rule_based,mobile_app,dispute_charge,0.741,1,3,15,164,0,0,none,157,0
A-00010,2023-06-11 21:30:53.052248,A,rule_based,chat,make_payment,0.85,2,1,20,790,0,1,none,306,1
A-00011,2023-02-04 09:47:06.900291,A,rule_based,voice,transfer_funds,0.943,1,1,33,706,0,0,none,401,1
A-00012,2023-01-28 17:06:09.005788,A,rule_based,mobile_app,request_statement,0.701,2,2,53,184,0,0,none,173,1
A-00013,2023-01-03 04:32:33.248416,A,rule_based,voice,loan_inquiry,0.656,1,3,79,271,0,0,none,84,1
A-00014,2023-02-02 18:00:53.120067,A,rule_based,voice,dispute_charge,0.892,2,1,32,420,0,0,none,58,1
A-00015,2023-02-04 03:46:31.794282,A,rule_based,voice,make_payment,0.895,2,1,44,725,0,1,customer_request,53,1
A-00016,2023-01-14 22:45:27.396398,A,rule_based,voice,update_address,0.915,1,3,27,677,0,1,customer_request,194,0
A-00017,2023-06-06 04:38:29.640281,A,rule_based,chat,check_balance,0.95,1,2,7,714,0,0,none,464,1
A-00018,2023-05-21 09:35:25.920842,A,rule_based,mobile_app,loan_inquiry,0.689,1,3,34,679,0,0,none,143,1
A-00019,2023-02-15 19:21:36.246745,A,rule_based,voice,request_statement,0.841,1,1,31,539,0,0,none,212,0
A-00020,2023-05-21 23:40:23.801896,A,rule_based,chat,freeze_card,0.749,1,1,16,303,0,0,none,333,1
A-00021,2023-03-17 23:45:03.031784,A,rule_based,voice,make_payment,0.761,1,2,55,522,0,0,none,326,1
A-00022,2023-05-20 14:14:51.850983,A,rule_based,chat,transfer_funds,0.893,1,1,24,445,0,0,none,151,1
A-00023,2023-02-28 03:23:35.001341,A,rule_based,voice,loan_inquiry,0.939,2,2,21,765,0,0,none,87,1
A-00024,2023-04-12 15:18:22.530339,A,rule_based,voice,freeze_card,0.352,2,3,34,413,0,0,none,100,1
A-00025,2023-03-10 16:33:27.148471,A,rule_based,chat,check_balance,0.876,2,3,77,629,0,1,customer_request,129,1
A-00026,2023-02-03 18:45:34.306349,A,rule_based,voice,dispute_charge,0.937,2,3,52,221,0,1,customer_request,68,1
A-00027,2023-04-16 09:56:02.611999,A,rule_based,voice,check_balance,0.867,2,2,36,578,0,0,none,236,1
A-00028,2023-05-16 03:35:20.601256,A,rule_based,voice,check_balance,0.813,1,3,66,417,0,0,none,320,1
A-00029,2023-05-16 13:25:22.001688,A,rule_based,voice,request_statement,0.972,2,2,6,405,0,0,none,333,1
A-00030,2023-03-06 03:10:13.033701,A,rule_based,chat,freeze_card,0.828,1,2,30,628,0,0,none,439,1
A-00031,2023-04-04 08:50:05.422247,A,rule_based,voice,transfer_funds,0.58,2,3,45,438,0,0,none,161,1
A-00032,2023-05-18 11:31:24.765195,A,rule_based,voice,make_payment,0.593,2,3,41,141,0,0,none,324,1
A-00033,2023-01-10 19:25:46.590015,A,rule_based,mobile_app,make_payment,0.883,1,3,55,372,0,0,none,428,1
A-00034,2023-01-13 22:33:27.359495,A,rule_based,chat,dispute_charge,0.817,1,1,57,774,0,0,none,42,1
A-00035,2023-03-09 17:16:56.052046,A,rule_based,voice,check_balance,0.721,1,3,39,762,0,0,none,381,1
A-00036,2023-02-10 05:23:50.339202,A,rule_based,chat,check_balance,0.903,1,3,74,530,0,0,none,69,1
A-00037,2023-03-09 10:28:14.896045,A,rule_based,voice,dispute_charge,0.622,1,3,74,546,0,0,none,278,1
A-00038,2023-01-17 21:00:47.897977,A,rule_based,voice,make_payment,0.718,1,1,40,283,0,0,none,403,1
A-00039,2023-04-17 13:28:28.893062,A,rule_based,chat,request_statement,0.815,1,2,72,646,0,1,customer_request,236,1
A-00040,2023-05-01 21:55:08.349224,A,rule_based,voice,dispute_charge,0.8,1,3,53,519,0,0,none,281,1
A-00041,2023-05-23 12:45:03.578766,A,rule_based,voice,loan_inquiry,0.919,2,3,15,126,0,0,none,308,1
A-00042,2023-04-28 02:15:32.732947,A,rule_based,mobile_app,freeze_card,0.541,1,1,13,764,0,0,none,290,1
A-00043,2023-03-13 08:22:03.455134,A,rule_based,chat,make_payment,0.832,1,2,10,696,0,0,none,359,1
A-00044,2023-06-18 06:53:23.752367,A,rule_based,mobile_app,loan_inquiry,0.889,2,3,20,157,0,1,unresolved,416,1
A-00045,2023-05-11 17:45:15.513267,A,rule_based,mobile_app,loan_inquiry,0.799,2,3,28,392,0,0,none,90,1
A-00046,2023-04-05 23:34:58.735098,A,rule_based,voice,dispute_charge,0.476,1,1,10,619,0,1,timeout,217,1
A-00047,2023-02-07 05:35:37.550435,A,rule_based,chat,make_payment,0.89,1,3,50,616,0,0,none,413,0
A-00048,2023-04-27 19:34:18.993722,A,rule_based,voice,request_statement,0.809,1,3,35,217,0,0,none,201,1
A-00049,2023-04-17 12:13:57.606137,A,rule_based,chat,check_balance,0.738,1,1,50,128,0,0,none,250,1
A-00050,2023-05-03 23:59:08.143477,A,rule_based,voice,check_balance,0.761,2,1,42,789,0,0,none,363,0
A-00051,2023-05-21 14:27:32.350075,A,rule_based,voice,check_balance,0.614,1,1,25,725,0,0,none,450,1
A-00052,2023-06-14 17:00:51.674349,A,rule_based,voice,freeze_card,0.915,1,1,51,616,0,0,none,143,1
A-00053,2023-06-20 19:55:28.108802,A,rule_based,chat,request_statement,0.809,1,3,76,561,0,0,none,459,1
A-00054,2023-04-24 10:24:04.929057,A,rule_based,voice,freeze_card,0.785,2,2,28,580,0,0,none,349,0
A-00055,2023-06-23 20:55:48.268036,A,rule_based,chat,freeze_card,0.605,1,3,28,420,0,0,none,43,1
A-00056,2023-06-14 01:20:41.149257,A,rule_based,mobile_app,dispute_charge,0.928,1,1,43,579,0,0,none,417,1
A-00057,2023-01-01 11:17:38.480301,A,rule_based,chat,update_address,0.557,2,2,65,312,0,0,none,203,1
A-00058,2023-04-25 18:30:26.835058,A,rule_based,voice,check_balance,0.935,2,3,44,158,0,0,none,156,1
A-00059,2023-02-02 02:59:16.261739,A,rule_based,voice,check_balance,0.85,1,3,67,317,0,0,none,266,0
A-00060,2023-02-23 03:13:56.162139,A,rule_based,mobile_app,request_statement,0.87,2,1,10,305,0,1,unresolved,289,0
A-00061,2023-02-23 13:12:03.106288,A,rule_based,chat,dispute_charge,0.694,2,2,12,312,0,0,none,272,1
A-00062,2023-03-28 23:07:12.155636,A,rule_based,voice,update_address,0.714,1,2,35,429,0,0,none,54,1
