session_id,timestamp,period,system_type,channel,intent,confidence_score,intent_attempts,turns,raw_input_length,response_latency_ms,is_fallback,transferred_to_human,transfer_reason,call_duration_sec,resolved
B-00000,2023-09-20 20:31:20.353403,B,llm_agent,voice,dispute_charge,0.885,2,4,24,439,0,0,none,558,1
B-00001,2023-12-28 12:07:29.939475,B,llm_agent,chat,dispute_charge,0.891,2,1,82,775,0,0,none,132,0
B-00002,2023-12-18 17:20:45.850280,B,llm_agent,mobile_app,transfer_funds,0.861,2,1,104,451,0,0,none,528,1
B-00003,2023-07-03 19:27:11.340916,B,llm_agent,mobile_app,transfer_funds,0.749,1,2,108,505,0,0,none,458,1
B-00004,2023-10-12 05:42:39.365025,B,llm_agent,voice,loan_inquiry,0.904,2,1,54,1098,0,0,none,172,0
B-00005,2023-10-29 06:04:50.913753,B,llm_agent,chat,make_payment,0.879,2,4,62,574,0,1,low_confidence,128,1
B-00006,2023-12-02 07:10:39.521363,B,llm_agent,voice,make_payment,0.731,2,4,28,796,0,0,none,131,1
B-00007,2023-11-01 05:23:49.668790,B,llm_agent,chat,freeze_card,0.81,2,1,38,1126,0,0,none,565,0
B-00008,2023-11-03 22:47:55.746411,B,llm_agent,mobile_app,transfer_funds,0.633,2,1,117,498,0,0,none,192,1
B-00009,2023-08-23 00:07:18.496344,B,llm_agent,chat,check_balance,0.771,2,4,95,221,0,0,none,163,1
B-00010,2023-11-28 03:49:15.709143,B,llm_agent,voice,check_balance,0.711,1,3,15,661,0,0,none,318,1
B-00011,2023-07-12 13:57:49.246524,B,llm_agent,voice,freeze_card,0.717,2,3,106,1074,0,0,none,475,1
B-00012,2023-10-29 07:16:50.184952,B,llm_agent,chat,check_balance,0.923,1,2,88,432,0,0,none,335,0
B-00013,2023-08-06 23:17:21.102240,B,llm_agent,voice,freeze_card,0.86,1,3,93,719,0,0,none,431,0
B-00014,2023-11-18 02:24:34.978331,B,llm_agent,voice,update_address,0.685,2,2,8,744,0,0,none,282,0
B-00015,2023-11-22 14:44:24.214716,B,llm_agent,chat,update_address,0.93,2,2,38,397,0,0,none,323,0
B-00016,2023-08-01 23:39:20.274826,B,llm_agent,chat,loan_inquiry,0.685,1,1,41,1172,0,0,none,433,0
