session_id,timestamp,period,system_type,channel,intent,confidence_score,intent_attempts,turns,raw_input_length,response_latency_ms,is_fallback,transferred_to_human,transfer_reason,call_duration_sec,resolved
B-00000,2023-07-04 15:02:44.270135,B,llm_agent,voice,transfer_funds,0.702,1,1,89,883,0,0,none,105,1
B-00001,2023-12-13 03:31:08.224856,B,llm_agent,voice,credit_inquiry,0.477,3,7,197,2946,0,0,none,698,1
B-00002,2023-08-31 13:25:35.438151,B,llm_agent,chat,investment_advice,0.741,4,4,144,887,0,0,none,161,1
B-00003,2023-07-12 01:28:30.786213,B,llm_agent,voice,freeze_card,0.774,2,3,35,438,0,0,none,516,1
B-00004,2023-08-03 17:46:11.207905,B,llm_agent,voice,unknown,0.281,2,6,101,815,1,0,none,183,1
B-00005,2023-11-10 12:12:18.365706,B,llm_agent,chat,update_address,0.803,1,4,84,586,0,0,none,308,1
B-00006,2023-08-12 15:22:56.800430,B,llm_agent,voice,dispute_charge,0.83,1,1,44,412,0,1,customer_request,641,1
B-00007,2023-11-12 04:29:09.080209,B,llm_agent,voice,fund_movement,0.572,2,6,169,920,0,1,low_confidence,713,1
B-00008,2023-11-30 04:24:20.430500,B,llm_agent,chat,account_balance_check,0.426,3,6,120,1670,0,0,none,446,1
B-00009,2023-12-14 13:06:05.535024,B,llm_agent,voice,transfer_funds,0.718,2,3,49,668,0,0,none,169,1
B-00010,2023-12-13 20:12:07.226557,B,llm_agent,voice,request_statement,0.795,1,2,82,564,0,0,none,68,1
B-00011,2023-08-03 01:02:54.075690,B,llm_agent,chat,loan_inquiry,0.804,2,4,22,993,0,0,none,509,1
B-00012,2023-10-11 04:57:50.145753,B,llm_agent,mobile_app,freeze_card,0.727,1,3,113,820,0,0,none,583,1
B-00013,2023-12-09 15:38:59.124914,B,llm_agent,mobile_app,freeze_card,0.768,1,1,107,739,0,0,none,297,0
B-00014,2023-08-14 11:10:56.571465,B,llm_agent,voice,make_payment,0.793,2,1,83,375,0,0,none,511,1
B-00015,2023-12-30 20:09:24.079281,B,llm_agent,mobile_app,make_payment,0.86,2,2,20,579,0,0,none,177,1
B-00016,2023-11-12 18:10:14.462768,B,llm_agent,voice,check_balance,0.741,2,2,52,386,0,0,none,385,1
B-00017,2023-12-18 20:52:47.699438,B,llm_agent,voice,dispute_charge,0.874,1,3,76,640,0,0,none,103,1
B-00018,2023-08-26 21:13:54.348356,B,llm_agent,voice,freeze_card,0.882,1,2,76,872,0,0,none,599,1
