session_id,timestamp,period,system_type,channel,intent,confidence_score,intent_attempts,turns,raw_input_length,response_latency_ms,is_fallback,transferred_to_human,transfer_reason,call_duration_sec,resolved
B-00000,2023-10-15 08:42:13.637858,B,llm_agent,voice,transfer_funds,0.926,1,1,66,691,0,0,none,324,1
B-00001,2023-08-19 12:53:48.850944,B,llm_agent,chat,insurance_claim,0.537,2,4,73,2236,0,0,none,424,1
B-00002,2023-10-10 10:26:16.113617,B,llm_agent,chat,fund_movement,0.157,4,7,56,1320,0,0,none,640,1
B-00003,2023-08-30 08:13:43.549262,B,llm_agent,voice,dispute_charge,0.709,2,3,115,1069,0,0,none,270,1
B-00004,2023-11-09 19:30:34.146323,B,llm_agent,voice,make_payment,0.691,2,1,116,387,0,0,none,350,1
B-00005,2023-10-25 06:50:16.092034,B,llm_agent,voice,dispute_charge,0.768,2,2,53,919,0,0,none,296,1
B-00006,2023-11-09 13:44:36.977719,B,llm_agent,chat,request_statement,0.976,2,2,46,345,0,0,none,57,0
B-00007,2023-11-07 20:02:26.192622,B,llm_agent,chat,insurance_claim,0.201,3,4,47,1912,0,0,none,92,1
B-00008,2023-11-14 20:20:32.955385,B,llm_agent,voice,update_address,0.929,2,1,105,1006,0,0,none,292,1
B-00009,2023-12-28 00:55:49.851891,B,llm_agent,mobile_app,make_payment,0.723,1,2,41,914,0,0,none,551,1
B-00010,2023-09-20 02:09:17.500851,B,llm_agent,voice,unknown,0.447,4,4,70,2299,1,1,customer_request,613,1
B-00011,2023-11-16 09:06:24.475018,B,llm_agent,voice,dispute_charge,0.856,1,1,89,396,0,0,none,650,1
B-00012,2023-08-10 12:42:13.960873,B,llm_agent,mobile_app,request_statement,0.62,1,4,82,531,0,0,none,226,1
B-00013,2023-12-24 00:32:27.769832,B,llm_agent,mobile_app,dispute_charge,0.541,2,3,48,942,0,0,none,147,1
B-00014,2023-12-03 16:39:50.868958,B,llm_agent,voice,update_address,0.911,2,4,66,1119,0,1,customer_request,470,0
B-00015,2023-07-18 16:45:13.191800,B,llm_agent,voice,update_address,0.873,1,1,8,531,0,0,none,412,1
B-00016,2023-11-24 13:07:52.470607,B,llm_agent,voice,account_balance_check,0.511,3,4,152,1097,0,1,low_confidence,90,1
B-00017,2023-10-15 21:37:54.690401,B,llm_agent,voice,make_payment,0.888,2,2,48,567,0,0,none,556,0
B-00018,2023-09-12 11:34:40.835582,B,llm_agent,voice,payment_processing,0.482,2,5,198,2724,0,0,none,507,1
B-00019,2023-07-21 06:10:38.579161,B,llm_agent,chat,payment_processing,0.311,2,5,88,918,0,0,none,249,1
B-00020,2023-10-23 03:53:03.175746,B,llm_agent,voice,check_balance,0.857,1,1,68,903,0,0,none,132,1
B-00021,2023-10-04 17:34:51.427784,B,llm_agent,voice,freeze_card,0.548,2,2,111,695,0,0,none,681,1
B-00022,2023-11-30 21:57:46.813954,B,llm_agent,voice,loan_inquiry,0.942,1,1,57,905,0,0,none,443,0
B-00023,2023-09-11 13:48:50.444170,B,llm_agent,mobile_app,credit_inquiry,0.814,2,7,177,1374,0,0,none,235,1
B-00024,2023-10-04 07:36:08.502558,B,llm_agent,chat,credit_inquiry,0.675,4,3,157,1908,0,1,low_confidence,497,0
B-00025,2023-09-17 21:17:10.769393,B,llm_agent,voice,unknown,0.811,2,5,164,1567,1,0,none,705,1
B-00026,2023-07-15 14:01:19.945873,B,llm_agent,voice,unknown,0.246,4,4,45,1410,1,0,none,515,1
B-00027,2023-09-23 13:14:41.156736,B,llm_agent,mobile_app,card_management,0.616,3,3,126,2012,0,0,none,103,1
B-00028,2023-12-23 04:58:04.387524,B,llm_agent,voice,dispute_charge,0.99,2,1,104,451,0,0,none,309,0
B-00029,2023-07-04 00:36:05.309607,B,llm_agent,chat,loan_inquiry,0.845,1,2,104,1188,0,0,none,68,0
B-00030,2023-11-12 11:41:31.811682,B,llm_agent,chat,payment_processing,0.521,2,4,193,2865,0,0,none,315,1
B-00031,2023-09-16 11:22:02.039146,B,llm_agent,chat,payment_processing,0.599,2,6,110,1885,0,0,none,367,0
B-00032,2023-08-02 13:48:37.670739,B,llm_agent,chat,make_payment,0.626,1,2,69,774,0,0,none,688,1
B-00033,2023-11-02 18:29:25.748335,B,llm_agent,voice,payment_processing,0.48,2,5,190,1002,0,0,none,45,1
B-00034,2023-09-06 12:06:19.497652,B,llm_agent,voice,check_balance,0.984,2,4,28,715,0,0,none,705,1
B-00035,2023-12-29 11:11:18.593986,B,llm_agent,voice,make_payment,0.889,2,4,26,697,0,0,none,577,0
B-00036,2023-10-03 16:24:30.301716,B,llm_agent,chat,dispute_charge,0.898,1,2,70,290,0,0,none,239,0
B-00037,2023-09-14 14:58:33.430571,B,llm_agent,voice,investment_advice,0.725,4,3,98,1709,0,1,customer_request,531,1
B-00038,2023-12-24 04:31:42.464250,B,llm_agent,voice,check_balance,0.504,1,3,54,999,0,1,timeout,576,1
B-00039,2023-08-22 04:22:45.433751,B,llm_agent,voice,request_statement,0.626,1,2,9,523,0,0,none,36,1
B-00040,2023-12-25 12:46:00.342111,B,llm_agent,mobile_app,update_address,0.697,2,1,96,1114,0,0,none,648,1
B-00041,2023-11-19 17:48:12.628694,B,llm_agent,voice,dispute_charge,0.808,1,2,29,1190,0,0,none,91,1
B-00042,2023-10-09 01:25:35.981066,B,llm_agent,voice,check_balance,0.55,2,3,90,296,0,0,none,411,1
B-00043,2023-09-06 22:40:58.703062,B,llm_agent,voice,update_address,0.886,2,3,63,476,0,0,none,345,1
B-00044,2023-07-13 12:50:51.508429,B,llm_agent,voice,fund_movement,0.52,4,3,59,1579,0,1,customer_request,322,1
B-00045,2023-12-20 11:30:25.730011,B,llm_agent,voice,unknown,0.293,2,4,191,2203,1,0,none,700,1
B-00046,2023-10-25 15:10:56.363610,B,llm_agent,voice,fund_movement,0.427,4,5,154,2841,0,1,unresolved,71,0
B-00047,2023-10-05 02:34:21.226200,B,llm_agent,voice,make_payment,0.663,1,2,119,331,0,0,none,600,1
B-00048,2023-10-28 13:52:08.532909,B,llm_agent,voice,credit_inquiry,0.743,3,3,140,1486,0,0,none,598,1
B-00049,2023-12-10 10:45:23.229394,B,llm_agent,voice,check_balance,0.879,2,3,24,299,0,0,none,277,0
B-00050,2023-08-24 13:23:11.400598,B,llm_agent,mobile_app,document_request,0.215,4,6,44,2571,0,0,none,139,1
B-00051,2023-10-03 21:24:13.099526,B,llm_agent,chat,account_balance_check,0.649,2,3,154,2225,0,0,none,246,1
B-00052,2023-11-27 16:12:41.294775,B,llm_agent,chat,update_address,0.673,2,4,41,758,0,0,none,537,1
B-00053,2023-12-09 20:44:51.707286,B,llm_agent,chat,payment_processing,0.481,4,4,129,2654,0,0,none,532,1
B-00054,2023-11-08 03:42:12.589165,B,llm_agent,voice,investment_advice,0.764,4,5,180,2302,0,0,none,445,1
B-00055,2023-10-16 14:34:27.916861,B,llm_agent,mobile_app,freeze_card,0.897,2,4,8,546,0,0,none,239,1
B-00056,2023-09-10 04:54:52.250770,B,llm_agent,chat,request_statement,0.636,2,1,100,1051,0,0,none,665,1
B-00057,2023-08-14 14:25:46.477068,B,llm_agent,voice,payment_processing,0.471,4,3,193,2115,0,0,none,515,1
B-00058,2023-10-26 19:46:42.637659,B,llm_agent,voice,request_statement,0.665,1,2,18,817,0,0,none,72,1
B-00059,2023-11-08 15:48:27.254017,B,llm_agent,mobile_app,transaction_dispute,0.558,2,7,53,2881,0,0,none,58,1
B-00060,2023-09-27 08:55:22.037658,B,llm_agent,chat,request_statement,0.715,1,4,18,863,0,0,none,515,1
B-00061,2023-12-21 03:04:16.820768,B,llm_agent,voice,request_statement,0.491,1,2,69,367,0,0,none,599,1
B-00062,2023-07-29 18:04:20.404727,B,llm_agent,chat,make_payment,0.649,1,2,85,940,0,0,none,508,1
B-00063,2023-10-03 18:44:41.951348,B,llm_agent,chat,make_payment,0.831,2,2,73,1149,0,0,none,157,1
B-00064,2023-11-01 05:00:55.431333,B,llm_agent,voice,loan_inquiry,0.88,1,1,68,1072,0,0,none,611,1
B-00065,2023-12-20 11:40:04.562160,B,llm_agent,voice,check_balance,0.702,2,4,90,1106,0,0,none,280,1
B-00066,2023-08-18 00:43:29.102785,B,llm_agent,chat,transaction_dispute,0.667,4,6,158,2547,0,1,customer_request,516,1
B-00067,2023-08-14 17:42:56.904462,B,llm_agent,voice,loan_inquiry,0.89,1,3,116,895,0,1,customer_request,522,0
B-00068,2023-09-27 13:43:22.796239,B,llm_agent,voice,make_payment,0.727,2,3,113,1143,0,0,none,215,1
B-00069,2023-11-06 16:03:10.099682,B,llm_agent,voice,make_payment,0.96,2,1,49,964,0,0,none,180,0
B-00070,2023-08-27 11:42:31.535481,B,llm_agent,chat,transaction_dispute,0.571,2,4,146,975,0,1,customer_request,540,0
B-00071,2023-10-02 02:03:05.521284,B,llm_agent,voice,dispute_charge,0.84,2,2,32,312,0,0,none,718,0
B-00072,2023-07-24 09:26:05.256831,B,llm_agent,voice,request_statement,0.708,1,3,70,213,0,0,none,448,1
B-00073,2023-12-18 07:46:32.027099,B,llm_agent,voice,update_address,0.872,1,1,65,642,0,0,none,267,1
B-00074,2023-08-05 23:19:13.296561,B,llm_agent,voice,dispute_charge,0.615,2,4,16,874,0,0,none,280,1
B-00075,2023-08-16 08:02:44.750890,B,llm_agent,voice,dispute_charge,0.84,2,4,63,1040,0,0,none,419,0
B-00076,2023-09-16 14:50:04.202964,B,llm_agent,voice,make_payment,0.767,2,4,63,825,0,0,none,571,1
B-00077,2023-07-26 08:07:47.447692,B,llm_agent,chat,credit_inquiry,0.568,3,7,58,2044,0,0,none,623,1
B-00078,2023-12-22 20:52:01.157678,B,llm_agent,chat,make_payment,0.854,1,4,116,993,0,1,timeout,588,1
B-00079,2023-10-28 20:28:57.133914,B,llm_agent,voice,account_balance_check,0.582,4,4,163,903,0,1,unresolved,701,1
B-00080,2023-10-29 20:16:14.472377,B,llm_agent,mobile_app,make_payment,0.797,2,2,102,643,0,0,none,367,1
B-00081,2023-08-06 19:06:48.155109,B,llm_agent,voice,check_balance,0.729,2,4,29,385,0,0,none,654,1
B-00082,2023-09-01 06:06:30.837587,B,llm_agent,voice,payment_processing,0.365,4,6,82,1555,0,0,none,497,1
B-00083,2023-08-05 07:14:38.147120,B,llm_agent,chat,check_balance,0.816,2,2,46,315,0,0,none,659,1
B-00084,2023-07-15 12:46:10.037713,B,llm_agent,mobile_app,unknown,0.361,3,3,181,867,1,1,unresolved,61,1
B-00085,2023-09-17 13:15:07.932505,B,llm_agent,mobile_app,transfer_funds,0.759,1,2,66,501,0,0,none,531,0
B-00086,2023-09-22 23:15:52.795128,B,llm_agent,voice,transfer_funds,0.86,1,3,103,1182,0,0,none,692,0
B-00087,2023-11-01 13:00:14.812399,B,llm_agent,voice,check_balance,0.635,2,2,9,628,0,0,none,99,1
B-00088,2023-09-19 23:34:22.656919,B,llm_agent,voice,investment_advice,0.579,3,5,54,1285,0,1,customer_request,690,1
B-00089,2023-12-29 00:18:56.172824,B,llm_agent,voice,make_payment,0.533,2,4,36,834,0,0,none,196,1
B-00090,2023-09-28 04:03:00.564028,B,llm_agent,voice,profile_update,0.472,4,4,191,1036,0,0,none,354,1
