session_id,timestamp,period,system_type,channel,intent,confidence_score,intent_attempts,turns,raw_input_length,response_latency_ms,is_fallback,transferred_to_human,transfer_reason,call_duration_sec,resolved
B-00000,2023-07-21 12:52:16.928887,B,llm_agent,chat,payment_processing,0.434,2,4,131,1644,0,0,none,214,1
B-00001,2023-12-01 18:20:32.467594,B,llm_agent,voice,document_request,0.456,4,6,144,2303,0,0,none,515,0
B-00002,2023-08-01 12:11:58.265997,B,llm_agent,voice,document_request,0.774,4,5,194,2368,0,0,none,518,1
B-00003,2023-10-23 15:01:51.668038,B,llm_agent,mobile_app,loan_inquiry,0.777,1,4,30,1033,0,0,none,362,1
B-00004,2023-12-20 11:48:37.544231,B,llm_agent,voice,freeze_card,0.483,1,3,8,715,0,0,none,367,1
B-00005,2023-09-01 08:35:06.030526,B,llm_agent,voice,check_balance,0.817,2,1,119,626,0,0,none,644,1
B-00006,2023-08-08 16:34:55.570568,B,llm_agent,chat,request_statement,0.563,2,3,22,925,0,0,none,323,1
B-00007,2023-10-08 06:53:39.674362,B,llm_agent,chat,transfer_funds,0.648,2,2,27,608,0,0,none,554,1
B-00008,2023-12-03 16:15:04.829447,B,llm_agent,voice,make_payment,0.863,1,1,14,1199,0,0,none,379,1
B-00009,2023-12-10 18:09:32.361859,B,llm_agent,mobile_app,account_balance_check,0.501,3,7,87,1598,0,1,customer_request,706,0
B-00010,2023-08-11 06:56:26.665085,B,llm_agent,chat,freeze_card,0.787,2,4,45,243,0,0,none,698,0
B-00011,2023-12-26 02:09:04.061049,B,llm_agent,voice,transaction_dispute,0.225,3,4,121,2944,0,1,unresolved,435,1
B-00012,2023-10-16 01:42:07.991535,B,llm_agent,voice,document_request,0.289,4,5,124,1584,0,0,none,355,1
B-00013,2023-10-26 14:55:17.836400,B,llm_agent,voice,loan_inquiry,0.727,2,2,7,345,0,0,none,581,1
B-00014,2023-08-15 13:19:22.379183,B,llm_agent,mobile_app,loan_inquiry,0.952,2,4,11,361,0,0,none,621,1
B-00015,2023-09-04 08:02:47.365301,B,llm_agent,chat,check_balance,0.704,2,3,10,1113,0,1,unresolved,186,1
B-00016,2023-07-21 02:15:01.297493,B,llm_agent,voice,check_balance,0.903,1,4,119,483,0,0,none,696,1
B-00017,2023-11-14 19:36:38.894256,B,llm_agent,voice,freeze_card,0.854,2,2,78,1146,0,1,low_confidence,656,1
B-00018,2023-09-03 17:48:24.036806,B,llm_agent,voice,request_statement,0.895,2,2,13,409,0,0,none,235,1
B-00019,2023-10-20 18:58:50.329822,B,llm_agent,voice,credit_inquiry,0.339,2,3,198,2027,0,0,none,45,1
B-00020,2023-11-19 12:10:38.814938,B,llm_agent,chat,fund_movement,0.216,3,6,117,1129,0,1,customer_request,277,1
B-00021,2023-10-19 13:30:17.199530,B,llm_agent,voice,profile_update,0.349,2,5,186,2781,0,1,low_confidence,663,1
B-00022,2023-07-31 08:54:24.654680,B,llm_agent,mobile_app,make_payment,0.817,2,4,91,460,0,0,none,541,1
B-00023,2023-07-23 23:38:40.814781,B,llm_agent,chat,investment_advice,0.418,4,6,50,1821,0,0,none,57,1
B-00024,2023-09-20 07:36:32.962608,B,llm_agent,voice,check_balance,0.774,1,2,79,334,0,1,customer_request,518,0
B-00025,2023-09-18 05:27:12.712979,B,llm_agent,chat,check_balance,0.634,1,1,66,427,0,0,none,258,1
B-00026,2023-08-30 14:07:06.000833,B,llm_agent,mobile_app,insurance_claim,0.818,3,4,140,2376,0,0,none,189,0
B-00027,2023-07-11 12:36:09.682050,B,llm_agent,mobile_app,make_payment,0.727,1,4,11,731,0,0,none,108,1
B-00028,2023-08-03 10:06:26.900849,B,llm_agent,chat,account_balance_check,0.322,3,7,88,1973,0,0,none,461,1
B-00029,2023-10-06 23:24:18.409883,B,llm_agent,mobile_app,update_address,0.898,1,2,38,905,0,0,none,500,0
B-00030,2023-12-21 01:10:00.508473,B,llm_agent,voice,card_management,0.772,2,5,77,1388,0,0,none,364,1
B-00031,2023-08-11 08:28:37.456790,B,llm_agent,chat,dispute_charge,0.713,1,3,5,1168,0,0,none,164,1
B-00032,2023-07-07 19:12:33.516537,B,llm_agent,voice,profile_update,0.644,3,7,133,845,0,0,none,658,1
B-00033,2023-07-31 07:22:54.425175,B,llm_agent,mobile_app,transaction_dispute,0.387,2,4,169,2940,0,0,none,644,1
B-00034,2023-10-17 14:33:01.518369,B,llm_agent,voice,freeze_card,0.869,2,1,65,954,0,0,none,712,1
B-00035,2023-08-03 10:26:35.309676,B,llm_agent,voice,dispute_charge,0.824,1,2,59,607,0,0,none,287,1
B-00036,2023-07-27 12:04:58.090003,B,llm_agent,voice,account_balance_check,0.302,3,7,160,1933,0,1,low_confidence,130,1
B-00037,2023-12-02 04:49:35.140263,B,llm_agent,voice,transfer_funds,0.863,1,3,25,367,0,0,none,490,0
B-00038,2023-10-15 12:05:59.253255,B,llm_agent,chat,freeze_card,0.977,1,4,99,794,0,0,none,158,1
B-00039,2023-12-19 22:06:25.900990,B,llm_agent,voice,update_address,0.268,1,1,93,947,0,0,none,64,1
B-00040,2023-11-16 13:55:09.981499,B,llm_agent,voice,transfer_funds,0.757,2,4,7,533,0,0,none,278,1
B-00041,2023-08-26 22:28:52.110562,B,llm_agent,chat,payment_processing,0.463,3,3,143,2326,0,0,none,578,1
B-00042,2023-10-14 19:25:05.571482,B,llm_agent,voice,loan_inquiry,0.822,1,4,109,277,0,0,none,618,1
B-00043,2023-08-30 21:32:34.997592,B,llm_agent,voice,payment_processing,0.509,3,6,121,991,0,0,none,390,1
B-00044,2023-07-04 12:20:38.962685,B,llm_agent,voice,transaction_dispute,0.454,2,6,114,1305,0,0,none,715,1
B-00045,2023-09-18 18:18:48.248764,B,llm_agent,voice,check_balance,0.902,1,1,51,1183,0,0,none,669,0
B-00046,2023-12-25 08:43:40.620761,B,llm_agent,mobile_app,unknown,0.468,4,6,142,896,1,1,unresolved,483,0
B-00047,2023-11-23 22:42:48.178464,B,llm_agent,voice,make_payment,0.752,1,3,57,601,0,0,none,547,0
B-00048,2023-07-02 10:29:31.879112,B,llm_agent,voice,dispute_charge,0.913,2,3,21,316,0,0,none,630,1
B-00049,2023-09-03 23:07:36.890235,B,llm_agent,chat,request_statement,0.914,2,1,57,911,0,0,none,639,1
B-00050,2023-11-03 17:54:42.001889,B,llm_agent,chat,transaction_dispute,0.467,3,7,100,1915,0,0,none,300,1
B-00051,2023-11-02 04:11:00.348103,B,llm_agent,mobile_app,freeze_card,0.814,1,3,46,774,0,0,none,628,1
B-00052,2023-08-14 12:43:40.642553,B,llm_agent,voice,freeze_card,0.703,1,3,48,320,0,0,none,223,1
B-00053,2023-09-12 16:32:02.603298,B,llm_agent,voice,transfer_funds,0.9,1,3,18,813,0,0,none,242,1
B-00054,2023-11-12 13:59:47.168067,B,llm_agent,chat,profile_update,0.454,4,6,150,1784,0,1,low_confidence,125,1
B-00055,2023-12-22 00:12:15.758411,B,llm_agent,chat,fund_movement,0.539,4,7,182,1766,0,0,none,249,1
B-00056,2023-08-29 05:39:07.622868,B,llm_agent,chat,transaction_dispute,0.596,2,5,121,1823,0,1,low_confidence,133,1
B-00057,2023-07-18 06:27:04.499104,B,llm_agent,chat,transfer_funds,0.839,2,4,53,951,0,0,none,79,0
B-00058,2023-10-24 03:33:30.632766,B,llm_agent,voice,fund_movement,0.802,2,5,157,2709,0,0,none,302,1
B-00059,2023-09-15 10:59:54.235775,B,llm_agent,mobile_app,insurance_claim,0.838,2,3,108,1533,0,1,low_confidence,658,1
B-00060,2023-10-13 19:40:45.121965,B,llm_agent,chat,make_payment,0.767,2,2,110,731,0,0,none,103,1
B-00061,2023-08-23 17:52:19.867694,B,llm_agent,chat,card_management,0.196,4,6,188,946,0,0,none,370,1
B-00062,2023-10-17 18:27:03.513677,B,llm_agent,voice,check_balance,0.846,1,4,80,832,0,0,none,161,1
B-00063,2023-07-29 07:46:56.813483,B,llm_agent,mobile_app,account_balance_check,0.266,4,4,117,2378,0,0,none,595,1
B-00064,2023-07-11 17:35:01.787298,B,llm_agent,voice,transfer_funds,0.827,1,4,101,1175,0,0,none,658,1
B-00065,2023-12-05 12:59:34.035396,B,llm_agent,mobile_app,card_management,0.438,3,3,72,1980,0,0,none,313,1
